Country,University,Year,Donations,Public Grants,Tuition Fees,Total Income,"Total Income, €",Ac.Staff,Student,NIS,CSRC,CSRF,Rept,Tng,NSR,CSR,Edu,NST,CST,SCST,Reputation,Teaching,NSR,CSR,Edu,NST,CST,SCST,
FI,University of Jyväskylä,2022,,"€ 145,400,000",,"€ 222,200,000","€ 222,200,000",1746 ,14340 ,21.48 ,,,122 ,99 ,58 ,0 ,108 ,99 ,92 ,96 ,,,,,,,,,
BE,Catholic University of Leuven (KU Leuven),2022,"€ 16,962,080","€ 447,679,492","€ 54,750,430","€ 1,199,200,318","€ 1,199,200,318",4353 ,65651 ,124.13 ,2.1 ,28 ,115 ,94 ,74 ,47 ,102 ,97 ,94 ,96 ,,,,,,,,,
NL,Erasmus University Rotterdam (EUR),2022,,"€ 406,000,000","€ 59,000,000","€ 810,000,000","€ 810,000,000",3049 ,33334 ,71.78 ,,,110 ,102 ,84 ,0 ,105 ,101 ,90 ,96 ,,,,,,,,,
FR,Institut Polytechnique de Bordeaux (Bordeaux INP),2022,,"€ 13,700,000","€ 7,300,000","€ 20,800,000","€ 20,800,000",519 ,2524 ,11.95 ,,,88 ,98 ,184 ,0 ,94 ,108 ,83 ,96 ,,,,,,,,,
EE,University of Tartu (UT),2022,"€ 2,272,000","€ 44,663,000","€ 9,198,000","€ 244,230,000","€ 244,230,000",1847 ,14263 ,19.46 ,1.2 ,7 ,110 ,102 ,53 ,31 ,105 ,96 ,94 ,95 ,,,,,,,,,
BE,Free University of Brussels (VUB),2022,"€ 1,545,561","€ 146,972,267",,"€ 331,968,251","€ 331,968,251",2453 ,21617 ,27.20 ,,,122 ,98 ,49 ,0 ,108 ,98 ,92 ,95 ,,,,,,,,,
FI,University of Turku (UTU),2022,,"€ 170,900,000",,"€ 289,107,937","€ 289,107,937",3439 ,22287 ,23.00 ,,,122 ,100 ,40 ,0 ,109 ,97 ,93 ,95 ,,,,,,,,,
UK,University of Bristol (UoB),2023,"£600,000","£127,700,000","£416,400,000","£934,200,000","€ 1,089,310,139",3335 ,31485 ,112.44 ,2.2 ,47 ,37 ,108 ,139 ,171 ,80 ,93 ,96 ,94 ,,,,,,,,,
NO,University of Stavanger (UiS),2023,"kr 169,012,000","kr 1,970,997,000",,"kr 2,463,768,000","€ 212,052,644",1256 ,12383 ,5.07 ,,,129 ,98 ,16 ,0 ,110 ,95 ,94 ,94 ,,,,,,,,,
IT,University of Trento (UNITN),2023,,"€ 147,241,458","€ 20,629,278","€ 209,455,095","€ 209,455,095",824 ,16410 ,20.56 ,1.9 ,21 ,110 ,85 ,49 ,127 ,94 ,89 ,100 ,94 ,,,,,,,,,
EE,Tallinn University of Technology (TUT),2022,"€ 13,059,331","€ 51,775,598","€ 5,408,741","€ 127,845,362","€ 127,845,362",859 ,8846 ,3.85 ,,,133 ,96 ,17 ,0 ,110 ,95 ,94 ,94 ,,,,,,,,,
FR,Grenoble Institute of Technology (Grenoble INP),2022,€ 600,"€ 83,016,762",,"€ 128,175,173","€ 128,175,173",800 ,8350 ,11.61 ,,,122 ,96 ,54 ,0 ,106 ,97 ,91 ,94 ,,,,,,,,,
FI,University of Eastern Finland (UEF),2022,,"€ 155,350,916",,"€ 256,352,555","€ 256,352,555",1689 ,16170 ,14.69 ,,,122 ,98 ,35 ,0 ,107 ,95 ,92 ,93 ,,,,,,,,,
NO,University of Tromsø - The Arctic University of Norway (UiT),2023,*,"kr 3,916,722,000",*,"kr 5,006,248,000","€ 430,879,907",2347 ,16572 ,17.01 ,,,100 ,108 ,40 ,0 ,106 ,95 ,91 ,93 ,,,,,,,,,
FR,Université Paris Dauphine - PSL,2023,,"€ 60,800,000","€ 39,200,000","€ 114,700,000","€ 114,700,000",3500 ,9484 ,3.22 ,1.3 ,11 ,83 ,111 ,13 ,79 ,101 ,88 ,98 ,93 ,,,,,,,,,
FR,Paris Cité University,2022,,"€ 516,000,000","€ 37,000,000","€ 693,000,000","€ 693,000,000",7850 ,63000 ,94.92 ,,,116 ,95 ,59 ,0 ,103 ,96 ,89 ,92 ,,,,,,,,,
IS,University of Iceland,2022,"1,644,641,233 kr","21,390,200,000 kr","727,601,475 kr","31,234,324,081 kr","€ 207,811,890",876 ,14167 ,19.31 ,,,125 ,90 ,53 ,0 ,103 ,95 ,89 ,92 ,,,,,,,,,
BE,Catholic University of Louvain (UCLouvain),2021,,"€ 296,960,000","€ 20,480,000","€ 512,000,000","€ 512,000,000",3106 ,34318 ,41.16 ,,,116 ,95 ,47 ,0 ,103 ,94 ,89 ,92 ,,,,,,,,,
CZ,Charles University (CU),2022,"1,527,000 K?","9,986,630,000 K?","888,843,000 K?","13,836,220,000 K?","€ 547,064,513",5097 ,51727 ,43.38 ,1.6 ,23 ,114 ,92 ,33 ,37 ,100 ,90 ,92 ,91 ,,,,,,,,,
NO,Nord University (UiN),2023,"kr 109,857,000","kr 1,759,140,000",,"kr 1,919,867,000","€ 165,239,939",939 ,11141 ,1.12 ,,,127 ,94 ,4 ,0 ,107 ,90 ,91 ,91 ,,,,,,,,,
BE,Université Libre de Bruxelles (ULB),2021,*,*,*,*,*,2301 ,31632 ,38.19 ,1.2 ,10 ,100 ,100 ,47 ,20 ,100 ,92 ,90 ,91 ,,,,,,,,,
SI,University of Ljubljana,2022,"€ 339,239","€ 351,034,175",,"€ 464,664,582","€ 464,664,582",4122 ,37509 ,13.61 ,,,122 ,95 ,14 ,0 ,105 ,91 ,91 ,91 ,,,,,,,,,
FR,Joseph Fourier University (UJF),2024,*,*,*,*,*,1500 ,16710 ,25.87 ,,,100 ,100 ,60 ,0 ,100 ,94 ,87 ,91 ,,,,,,,,,
LT,Kaunas University of Technology (KTU),2022,,"€ 53,158,584",,"€ 82,284,663","€ 82,284,663",909 ,7298 ,1.03 ,,,122 ,96 ,6 ,0 ,106 ,90 ,91 ,90 ,,,,,,,,,
FI,Lappeenranta University of Technology (LUT),2022,"€ 3,082,276","€ 56,319,000",,"€ 107,036,021","€ 107,036,021",788 ,9092 ,2.13 ,,,126 ,91 ,9 ,0 ,105 ,90 ,90 ,90 ,,,,,,,,,
FR,Université Toulouse III - Paul Sabatier (UPS),2022,"€ 555,998","€ 303,223,695","€ 22,772,999","€ 381,483,717","€ 381,483,717",4054 ,37000 ,36.86 ,,,115 ,93 ,39 ,0 ,101 ,92 ,88 ,90 ,,,,,,,,,
BE,University of Mons (UMONS),2024,*,*,*,*,*,900 ,10000 ,12.92 ,,,100 ,100 ,50 ,0 ,100 ,93 ,87 ,90 ,,,,,,,,,
BE,University of Namur (UNamur),2021,*,*,*,*,*,830 ,6499 ,7.92 ,,,100 ,100 ,47 ,0 ,100 ,92 ,87 ,90 ,,,,,,,,,
BE,University of Antwerp (UA),2022,"€ 2,604,620",*,*,*,*,5135 ,23202 ,27.84 ,,,100 ,100 ,47 ,0 ,100 ,92 ,87 ,90 ,,,,,,,,,
CZ,Masaryk University (MU),2022,"21,450,000 K?","4,831,049,000 K?","304,293,000 K?","8,743,272,000 K?","€ 345,696,573",2667 ,32335 ,15.09 ,1.3 ,17 ,117 ,89 ,18 ,36 ,100 ,88 ,91 ,90 ,,,,,,,,,
FR,Institut National Polytechnique de Toulouse (INPT),2024,*,*,*,*,*,*,4311 ,4.97 ,,,100 ,100 ,45 ,0 ,100 ,92 ,87 ,89 ,,,,,,,,,
FR,National Institute of Applied Sciences (INSA),2022,*,*,*,*,*,1580 ,21900 ,24.71 ,,,100 ,100 ,44 ,0 ,100 ,92 ,87 ,89 ,,,,,,,,,
NO,Oslo Metropolitan University (OsloMet),2023,"kr 176,542,000","kr 3,003,985,000","kr 19,815,000","kr 3,582,317,000","€ 308,324,401",1618 ,22837 ,1.29 ,,,126 ,91 ,2 ,0 ,104 ,88 ,90 ,89 ,,,,,,,,,
NO,University of Agder (UiA),2023,"kr 135,381,000","kr 1,755,078,000","kr 30,204,000","kr 2,058,302,000","€ 177,154,822",982 ,13861 ,1.38 ,,,127 ,90 ,4 ,0 ,104 ,88 ,90 ,89 ,,,,,,,,,
FR,Sorbonne University,2022,"€ 73,475","€ 516,209,384","€ 27,579,916","€ 718,883,124","€ 718,883,124",3001 ,58132 ,94.29 ,,,117 ,85 ,63 ,0 ,97 ,93 ,85 ,89 ,,,,,,,,,
BE,Ghent University (UGent),2022,"€ 2,800,000","€ 338,800,000","€ 33,940,645","€ 818,252,566","€ 818,252,566",2115 ,50000 ,84.27 ,,,114 ,86 ,66 ,0 ,96 ,93 ,85 ,89 ,,,,,,,,,
DK,Roskilde University (RUC),2022,,"634,700,000 kr.",,"787,500,000 kr.","€ 105,543,323",538 ,8045 ,2.51 ,,,122 ,89 ,12 ,0 ,102 ,88 ,88 ,88 ,,,,,,,,,
UK,University of Southampton (Soton),2023,"£3,448,000","£91,494,000","£361,632,000","£730,044,000","€ 851,257,044",2445 ,23795 ,63.86 ,1.7 ,34 ,33 ,108 ,105 ,127 ,79 ,87 ,89 ,88 ,,,,,,,,,
LT,Vilnius University (VU),2022,,"€ 117,080,000",,"€ 192,860,000","€ 192,860,000",2214 ,23245 ,11.33 ,,,122 ,88 ,19 ,0 ,101 ,88 ,87 ,88 ,,,,,,,,,
UK,King's College London (KCL),2023,"£28,900,000","£148,300,000","£607,800,000","£1,230,000,000","€ 1,434,223,368",4525 ,41490 ,112.24 ,2.3 ,36 ,37 ,109 ,105 ,104 ,81 ,88 ,88 ,88 ,,,,,,,,,
UK,University of Liverpool,2023,"£2,600,000","£94,600,000","£342,500,000","£675,100,000","€ 787,190,403",2745 ,28680 ,58.62 ,2.2 ,42 ,35 ,104 ,80 ,168 ,77 ,81 ,93 ,87 ,,,,,,,,,
FR,University of Lille Nord de France,2022,*,*,*,*,*,4600 ,75341 ,17.96 ,,,100 ,100 ,9 ,0 ,100 ,87 ,87 ,87 ,,,,,,,,,
LV,Riga Technical University (RTU),2022,"€ 7,500","€ 59,146,671",,"€ 85,680,826","€ 85,680,826",1377 ,13039 ,1.27 ,,,122 ,86 ,4 ,0 ,99 ,85 ,87 ,86 ,,,,,,,,,
FR,University of Strasbourg,2022,"€ 110,000","€ 389,295,000","€ 35,900,000","€ 542,000,000","€ 542,000,000",3470 ,54853 ,51.54 ,,,114 ,85 ,37 ,0 ,96 ,88 ,84 ,86 ,,,,,,,,,
NL,Tilburg University,2022,,"€ 196,693,950","€ 33,135,497","€ 291,296,473","€ 291,296,473",1294 ,19497 ,1.74 ,1.1 ,4 ,108 ,91 ,3 ,12 ,97 ,84 ,87 ,85 ,,,,,,,,,
IT,University of Genova,2022,,"€ 243,288,829","€ 47,175,453","€ 360,460,467","€ 360,460,467",1355 ,26339 ,10.59 ,1.3 ,10 ,107 ,86 ,16 ,26 ,94 ,83 ,86 ,85 ,,,,,,,,,
UK,The University of Warwick (Warwick),2023,"£4,000,000","£74,400,000","£453,800,000","£839,400,000","€ 978,769,996",2745 ,28825 ,58.98 ,2.4 ,35 ,24 ,107 ,80 ,152 ,74 ,80 ,90 ,85 ,,,,,,,,,
CH,University of Applied Sciences and Arts of Southern Switzerland (SUPSI),2022,,"18,592,398 CHF","15,175,789 CHF","140,372,578 CHF","€ 143,605,864",933 ,6010 ,1.77 ,,,77 ,108 ,11 ,0 ,96 ,85 ,85 ,85 ,,,,,,,,,
FR,University of Bordeaux,2023,,"€ 360,000,000","€ 74,000,000","€ 636,000,000","€ 636,000,000",3260 ,52000 ,41.50 ,,,106 ,88 ,31 ,0 ,94 ,86 ,83 ,84 ,,,,,,,,,
FR,AgroParisTech,2022,,"€ 15,300,000","€ 7,700,000","€ 38,100,000","€ 38,100,000",250 ,3000 ,4.85 ,,,89 ,92 ,63 ,0 ,90 ,88 ,81 ,84 ,,,,,,,,,
IT,Polytechnic University of Milan,2022,,"€ 318,235,849","€ 86,177,594","€ 582,806,128","€ 582,806,128",1627 ,47959 ,18.43 ,2.1 ,38 ,102 ,79 ,15 ,87 ,87 ,79 ,90 ,84 ,,,,,,,,,
UK,University of Surrey,2023,"£2,099,000","£48,390,000","£150,726,000","£316,331,000","€ 368,853,099",1300 ,15575 ,18.08 ,1.9 ,26 ,40 ,100 ,45 ,166 ,76 ,76 ,92 ,84 ,,,,,,,,,
FR,Jean Monnet University (UJM),2022,,"€ 112,390,000",,"€ 149,000,000","€ 149,000,000",910 ,20337 ,5.86 ,1.3 ,8 ,122 ,76 ,11 ,27 ,93 ,82 ,86 ,84 ,,,,,,,,,
